nx,finite,inf,drkf_inf,bcot,risk
2,0.002071580000119866,0.0020133599995460828,0.05938121999934083,1.6959785999995802,0.0025565199997799938
5,0.003633559999798308,0.0026993199997377816,0.12172345999970276,12.52995895999993,0.0034878600003139582
10,0.0033846600003016648,0.0032816999999340625,0.3241186799998104,75.1403983799999,0.002954159999717376
20,0.0037053200001537336,0.0033147999998618615,1.5299531999997271,,0.005903479999687988
30,0.004632780000247294,0.00388574000025983,5.02377004000009,,0.007256020000568242
40,0.006023219999769935,0.0049104399997304425,16.71667877999971,,0.010305600000356208
50,0.006964440000228933,0.008674740000424208,48.267093060000114,,0.011663500000213389
